id,state,regional_unemployment_rate,regional_median_income,regional_median_rent,housing_price_index,cost_of_living_index,previous_zip_code
27285,PA,4.4,61000,1540.0,98.0,81.0,104
27286,FL,4.6,55000,1380.0,115.0,84.0,849
27287,TX,3.7,61000,1350.0,99.0,88.0,748
27288,MI,5.3,57000,1290.0,102.0,77.0,912
27289,MA,4.1,81000,1750.0,137.0,108.0,326
27290,IL,4.7,65000,1640.0,104.0,91.0,878
27291,FL,4.9,55000,1350.0,107.0,91.0,381
27292,TX,4.3,61000,1370.0,105.0,87.0,887
27293,CA,5.1,75000,1740.0,160.0,126.0,373
27294,MI,5.5,57000,1540.0,92.0,85.0,926
27295,IL,5.2,65000,1740.0,98.0,90.0,322
27296,MA,4.0,81000,1830.0,153.0,128.0,369
27297,IL,5.0,65000,1660.0,97.0,85.0,777
27298,TN,4.5,53000,1230.0,103.0,82.0,977
27299,TX,4.3,61000,1760.0,104.0,74.0,793
27300,CA,5.5,75000,2030.0,158.0,131.0,813
27301,MI,5.6,57000,1680.0,90.0,68.0,914
27302,WA,5.2,78000,1660.0,153.0,127.0,560
27303,TX,4.6,61000,1360.0,103.0,96.0,631
27304,MD,4.8,84000,1880.0,130.0,108.0,714
27305,NY,5.2,72000,1820.0,155.0,124.0,332
27306,FL,5.0,55000,1370.0,115.0,88.0,223
27307,FL,5.2,55000,1440.0,115.0,87.0,308
27308,IL,5.1,65000,1460.0,96.0,88.0,968
27309,GA,3.7,58000,1520.0,104.0,84.0,638
27310,CA,5.6,75000,1740.0,158.0,123.0,181
27311,TN,4.2,53000,1170.0,99.0,77.0,141
27312,CA,6.0,75000,1780.0,157.0,124.0,825
27313,CA,5.0,75000,1650.0,160.0,127.0,879
27314,PA,5.3,61000,1310.0,90.0,74.0,621
27315,CA,6.1,75000,1870.0,159.0,124.0,390
27316,IL,4.9,65000,1380.0,106.0,87.0,265
27317,OH,4.5,56000,1400.0,93.0,81.0,958
27318,NY,5.0,72000,1490.0,135.0,114.0,357
27319,FL,4.9,55000,1140.0,120.0,91.0,242
27320,AZ,5.3,58000,1440.0,108.0,88.0,418
27321,FL,4.5,55000,1330.0,121.0,96.0,360
27322,FL,4.9,55000,1230.0,111.0,93.0,335
27323,MD,4.8,84000,1880.0,135.0,120.0,374
27324,FL,4.9,55000,1250.0,122.0,96.0,905
27325,NC,3.7,54000,1280.0,108.0,91.0,810
27326,OH,4.7,56000,1320.0,92.0,76.0,132
27327,WI,4.7,60000,1600.0,110.0,88.0,218
27328,TX,4.2,61000,1360.0,104.0,98.0,956
27329,VA,3.9,74000,2070.0,130.0,103.0,150
27330,TX,4.3,61000,1580.0,109.0,89.0,402
27331,IL,5.4,65000,1460.0,101.0,90.0,471
27332,FL,4.8,55000,1040.0,112.0,79.0,606
27333,NY,5.0,72000,1610.0,133.0,108.0,364
27334,TN,4.1,53000,1420.0,103.0,81.0,427
27335,VA,3.7,74000,1900.0,134.0,106.0,646
27336,NJ,5.1,82000,2330.0,138.0,117.0,514
27337,CA,5.9,75000,1840.0,153.0,117.0,404
27338,MA,4.1,81000,1990.0,139.0,118.0,390
27339,OH,4.9,56000,1330.0,96.0,83.0,296
27340,FL,4.9,55000,1360.0,113.0,94.0,318
27341,PA,4.8,61000,1640.0,94.0,81.0,635
27342,PA,4.4,61000,1450.0,93.0,80.0,739
27343,MA,4.0,81000,2060.0,147.0,119.0,868
27344,GA,4.0,58000,1340.0,99.0,89.0,317
27345,TX,4.2,61000,1730.0,111.0,97.0,432
27346,CA,6.1,75000,1900.0,168.0,124.0,347
27347,MO,3.8,55000,1210.0,97.0,82.0,648
27348,NJ,4.6,82000,1840.0,129.0,115.0,177
27349,GA,3.9,58000,1480.0,108.0,98.0,753
27350,VA,3.8,74000,1680.0,120.0,110.0,199
27351,MI,5.3,57000,1270.0,91.0,71.0,461
27352,TN,4.4,53000,1310.0,104.0,75.0,899
27353,PA,4.6,61000,1460.0,96.0,75.0,126
27354,FL,4.5,55000,1410.0,119.0,88.0,757
27355,MD,3.8,84000,2280.0,126.0,109.0,378
27356,TX,3.9,61000,1410.0,111.0,90.0,439
27357,TX,4.4,61000,1450.0,103.0,85.0,145
27358,NY,5.4,72000,1810.0,137.0,119.0,951
27359,NC,4.2,54000,1300.0,107.0,86.0,831
27360,FL,5.0,55000,1460.0,118.0,95.0,330
27361,TX,4.1,61000,1420.0,101.0,86.0,348
27362,NJ,4.9,82000,1920.0,130.0,112.0,494
27363,TN,4.4,53000,1010.0,102.0,87.0,151
27364,NC,4.3,54000,1160.0,121.0,101.0,623
27365,CA,5.4,75000,1720.0,161.0,124.0,558
27366,TN,4.6,53000,1170.0,106.0,78.0,976
27367,PA,4.4,61000,1500.0,99.0,84.0,808
27368,TX,4.0,61000,1430.0,99.0,81.0,453
27369,CA,5.5,75000,1840.0,160.0,122.0,611
27370,IN,4.5,55000,1160.0,82.0,68.0,817
27371,MD,4.5,84000,2140.0,132.0,114.0,674
27372,NC,3.9,54000,1220.0,111.0,85.0,161
27373,MD,4.4,84000,2330.0,126.0,107.0,603
27374,TX,4.2,61000,1430.0,101.0,83.0,355
27375,TX,4.0,61000,1330.0,108.0,92.0,595
27376,MD,4.5,84000,2170.0,121.0,110.0,511
27377,OH,4.1,56000,1270.0,86.0,74.0,634
27378,MD,4.2,84000,1910.0,128.0,114.0,592
27379,FL,4.6,55000,1550.0,115.0,82.0,234
27380,CA,5.8,75000,1820.0,162.0,132.0,750
27381,WI,4.1,60000,1500.0,106.0,95.0,848
27382,NC,4.4,54000,1300.0,112.0,89.0,620
27383,FL,4.8,55000,1300.0,120.0,97.0,242
27384,IN,4.3,55000,1300.0,95.0,83.0,540
27385,TX,3.7,61000,1370.0,108.0,87.0,661
27386,GA,4.1,58000,1720.0,110.0,89.0,886
27387,NY,5.3,72000,1500.0,136.0,102.0,880
27388,IL,5.1,65000,1720.0,102.0,88.0,903
27389,NJ,5.1,82000,1930.0,138.0,108.0,736
27390,GA,4.5,58000,1470.0,108.0,89.0,369
27391,FL,4.8,55000,1240.0,112.0,82.0,658
27392,GA,4.2,58000,1290.0,107.0,86.0,466
27393,NY,4.9,72000,1670.0,142.0,106.0,344
27394,FL,4.2,55000,1200.0,113.0,93.0,401
27395,VA,4.2,74000,1690.0,130.0,108.0,127
27396,FL,4.4,55000,1570.0,117.0,85.0,255
27397,IN,4.1,55000,1170.0,87.0,76.0,502
27398,NY,4.9,72000,1620.0,137.0,113.0,605
27399,MO,4.4,55000,1380.0,100.0,85.0,657
27400,CA,5.5,75000,1550.0,165.0,129.0,608
27401,GA,4.2,58000,1290.0,112.0,102.0,755
27402,IL,5.3,65000,1690.0,103.0,88.0,182
27403,NC,4.4,54000,1390.0,111.0,91.0,597
27404,AZ,4.9,58000,1410.0,122.0,105.0,445
27405,MO,3.9,55000,1120.0,96.0,71.0,777
27406,WA,4.8,78000,2150.0,163.0,130.0,203
27407,VA,4.0,74000,1500.0,130.0,103.0,401
27408,MA,4.3,81000,1620.0,139.0,122.0,638
27409,NY,4.9,72000,1900.0,130.0,105.0,797
27410,GA,3.9,58000,1350.0,105.0,86.0,372
27411,FL,4.7,55000,1300.0,121.0,92.0,896
27412,AZ,5.0,58000,1420.0,116.0,100.0,281
27413,FL,4.7,55000,1320.0,103.0,83.0,827
27414,MA,4.2,81000,2210.0,150.0,115.0,680
27415,TX,4.0,61000,1330.0,98.0,83.0,233
27416,TX,4.6,61000,1750.0,104.0,81.0,628
27417,IN,4.7,55000,1240.0,107.0,95.0,150
27418,NY,4.8,72000,2120.0,138.0,111.0,451
27419,AZ,4.3,58000,1360.0,113.0,88.0,681
27420,FL,5.1,55000,1300.0,112.0,90.0,745
27421,NC,4.3,54000,1270.0,115.0,94.0,114
27422,OH,4.5,56000,1340.0,97.0,81.0,457
27423,WI,4.4,60000,1320.0,102.0,90.0,781
27424,AZ,4.7,58000,1570.0,105.0,83.0,753
27425,NJ,4.9,82000,1910.0,134.0,107.0,547
27426,AZ,4.1,58000,1600.0,112.0,90.0,173
27427,AZ,4.5,58000,1440.0,124.0,96.0,962
27428,CA,5.6,75000,1570.0,159.0,124.0,777
27429,WA,4.8,78000,1890.0,152.0,117.0,592
27430,NY,4.8,72000,1790.0,145.0,122.0,435
27431,VA,3.5,74000,1880.0,126.0,106.0,653
27432,MD,4.6,84000,1970.0,129.0,110.0,881
27433,TX,4.2,61000,1320.0,98.0,88.0,356
27434,NC,4.5,54000,1220.0,114.0,92.0,618
27435,NC,4.4,54000,1410.0,114.0,94.0,689
27436,NJ,5.1,82000,2100.0,139.0,122.0,730
27437,NC,4.4,54000,1200.0,120.0,98.0,878
27438,NY,5.3,72000,1680.0,146.0,117.0,722
27439,TN,4.1,53000,1220.0,109.0,81.0,552
27440,FL,4.8,55000,1240.0,115.0,86.0,703
27441,IL,4.8,65000,1430.0,107.0,102.0,260
27442,MD,4.1,84000,1880.0,134.0,107.0,530
27443,MI,5.4,57000,1510.0,92.0,80.0,732
27444,TX,4.8,61000,1490.0,105.0,83.0,224
27445,FL,4.9,55000,1290.0,109.0,86.0,365
27446,CA,6.0,75000,2000.0,171.0,132.0,189
27447,IN,3.6,55000,1350.0,91.0,71.0,733
27448,MI,5.7,57000,1330.0,93.0,81.0,480
27449,TX,3.9,61000,1520.0,115.0,96.0,590
27450,CA,5.1,75000,1920.0,165.0,129.0,242
27451,GA,4.7,58000,1270.0,104.0,73.0,305
27452,PA,4.0,61000,1290.0,97.0,83.0,159
27453,IL,5.7,65000,1580.0,113.0,97.0,415
27454,TX,4.5,61000,1630.0,110.0,79.0,128
27455,NY,4.3,72000,1430.0,142.0,112.0,449
27456,NY,5.2,72000,1670.0,143.0,119.0,183
27457,IL,5.3,65000,1570.0,101.0,80.0,337
27458,IN,4.0,55000,1270.0,98.0,86.0,282
27459,NY,5.1,72000,1720.0,136.0,110.0,351
27460,OH,4.7,56000,1450.0,91.0,81.0,817
27461,TN,4.1,53000,1150.0,109.0,91.0,847
27462,NC,4.2,54000,1320.0,105.0,81.0,326
27463,TN,4.2,53000,1370.0,105.0,90.0,239
27464,PA,4.4,61000,1490.0,99.0,79.0,806
27465,MA,4.1,81000,1720.0,140.0,121.0,949
27466,IL,5.0,65000,1550.0,111.0,80.0,825
27467,IL,5.1,65000,1650.0,100.0,93.0,491
27468,TX,4.3,61000,1400.0,105.0,91.0,941
27469,NY,5.0,72000,1900.0,123.0,112.0,376
27470,NC,4.5,54000,1260.0,116.0,93.0,502
27471,TX,3.8,61000,1290.0,109.0,91.0,675
27472,FL,4.8,55000,1330.0,118.0,91.0,713
27473,IN,3.7,55000,1410.0,86.0,67.0,254
27474,IL,5.4,65000,1630.0,95.0,80.0,860
27475,IL,5.4,65000,1510.0,107.0,82.0,191
27476,MA,4.3,81000,1850.0,148.0,131.0,945
27477,WI,4.4,60000,1410.0,104.0,90.0,189
27478,VA,4.2,74000,1880.0,124.0,116.0,474
27479,TX,4.0,61000,1940.0,109.0,96.0,217
27480,GA,4.3,58000,1440.0,109.0,93.0,250
27481,CA,5.0,75000,1990.0,161.0,124.0,439
27482,FL,5.6,55000,1300.0,113.0,95.0,155
27483,PA,4.6,61000,1340.0,104.0,81.0,459
27484,TN,4.0,53000,1230.0,109.0,88.0,765
27485,IL,5.6,65000,1480.0,111.0,89.0,169
27486,CA,5.6,75000,2090.0,158.0,120.0,954
27487,MO,4.0,55000,1230.0,98.0,85.0,994
27488,MO,3.7,55000,1160.0,97.0,82.0,954
27489,GA,4.0,58000,1390.0,107.0,91.0,510
27490,CA,5.0,75000,1620.0,166.0,138.0,544
27491,NJ,5.4,82000,1840.0,133.0,115.0,864
27492,CA,5.6,75000,1960.0,161.0,125.0,285
27493,AZ,4.9,58000,1270.0,109.0,96.0,419
27494,NY,5.0,72000,1890.0,145.0,107.0,125
27495,OH,4.8,56000,1470.0,94.0,65.0,215
27496,NC,4.7,54000,1290.0,104.0,82.0,426
27497,WI,4.1,60000,1560.0,100.0,88.0,197
27498,IN,4.9,55000,1420.0,102.0,86.0,803
27499,TX,4.3,61000,1290.0,106.0,90.0,901
27500,TX,4.0,61000,1620.0,100.0,86.0,703
27501,FL,5.0,55000,1330.0,121.0,89.0,472
27502,NJ,5.4,82000,1980.0,129.0,113.0,804
27503,NC,3.9,54000,1250.0,113.0,89.0,246
27504,AZ,4.5,58000,1340.0,121.0,106.0,731
27505,NY,5.0,72000,2020.0,135.0,117.0,888
27506,MI,5.5,57000,1470.0,90.0,78.0,477
27507,VA,3.5,74000,1590.0,121.0,103.0,184
27508,FL,5.0,55000,1280.0,115.0,87.0,606
27509,CA,5.0,75000,1500.0,157.0,121.0,814
27510,GA,3.8,58000,1340.0,100.0,79.0,680
27511,IL,5.0,65000,1550.0,100.0,81.0,510
27512,WI,3.7,60000,1310.0,94.0,87.0,104
27513,OH,4.7,56000,1320.0,95.0,81.0,986
27514,MA,3.7,81000,1810.0,155.0,117.0,541
27515,NY,4.9,72000,1790.0,138.0,114.0,785
27516,TX,4.2,61000,1380.0,103.0,85.0,571
27517,PA,4.2,61000,1590.0,87.0,70.0,990
27518,FL,3.9,55000,1360.0,112.0,94.0,494
27519,TX,4.6,61000,1750.0,101.0,93.0,351
27520,OH,5.0,56000,1230.0,90.0,72.0,817
27521,CA,5.9,75000,1730.0,159.0,128.0,702
27522,IN,4.3,55000,1530.0,93.0,86.0,681
27523,OH,4.3,56000,1500.0,82.0,78.0,628
27524,FL,5.2,55000,1090.0,112.0,87.0,810
27525,NY,5.4,72000,1650.0,142.0,123.0,888
27526,PA,4.4,61000,1550.0,93.0,73.0,175
27527,CA,5.4,75000,1810.0,159.0,126.0,748
27528,FL,4.2,55000,1200.0,116.0,95.0,475
27529,FL,4.8,55000,1410.0,112.0,85.0,752
27530,FL,4.6,55000,1390.0,108.0,81.0,956
27531,MA,4.6,81000,2080.0,147.0,124.0,759
27532,OH,4.8,56000,1360.0,94.0,81.0,109
27533,FL,4.3,55000,1250.0,118.0,92.0,160
27534,MO,4.5,55000,1420.0,95.0,81.0,473
27535,MI,5.9,57000,1700.0,94.0,79.0,717
27536,CA,5.2,75000,1770.0,158.0,122.0,415
27537,PA,4.5,61000,1270.0,98.0,77.0,122
27538,CA,5.8,75000,1610.0,156.0,127.0,650
27539,IN,4.1,55000,1280.0,94.0,78.0,939
27540,NY,5.3,72000,1680.0,147.0,117.0,220
27541,MO,3.9,55000,1190.0,91.0,76.0,193
27542,VA,3.6,74000,1700.0,125.0,113.0,357
27543,AZ,4.7,58000,1390.0,120.0,101.0,247
27544,NY,4.6,72000,1740.0,146.0,107.0,905
27545,FL,5.1,55000,1290.0,116.0,100.0,970
27546,FL,5.0,55000,1420.0,116.0,90.0,378
27547,MI,5.3,57000,1280.0,93.0,76.0,612
27548,TX,4.3,61000,1410.0,108.0,94.0,420
27549,MD,4.1,84000,1860.0,130.0,110.0,131
27550,OH,4.5,56000,1380.0,98.0,83.0,125
27551,FL,4.2,55000,1430.0,101.0,82.0,450
27552,FL,5.0,55000,1390.0,126.0,88.0,322
27553,NY,4.4,72000,2140.0,140.0,115.0,545
27554,CA,6.1,75000,2110.0,158.0,130.0,249
27555,GA,4.4,58000,1330.0,109.0,74.0,163
27556,MI,5.7,57000,1340.0,95.0,82.0,585
27557,NC,4.0,54000,1210.0,107.0,89.0,936
27558,TN,4.7,53000,1120.0,104.0,87.0,835
27559,PA,4.2,61000,1470.0,90.0,76.0,742
27560,TN,3.9,53000,1360.0,100.0,77.0,757
27561,NJ,4.9,82000,2180.0,138.0,118.0,544
27562,OH,4.8,56000,1450.0,92.0,83.0,331
27563,CA,5.5,75000,1760.0,164.0,125.0,557
27564,NC,4.1,54000,1240.0,107.0,92.0,880
27565,CA,5.4,75000,1980.0,169.0,135.0,629
27566,AZ,4.7,58000,1360.0,108.0,80.0,457
27567,FL,5.1,55000,1390.0,109.0,92.0,764
27568,NY,4.6,72000,1700.0,135.0,98.0,948
27569,NJ,5.2,82000,1770.0,140.0,119.0,645
27570,NC,3.9,54000,1420.0,102.0,83.0,956
27571,TX,3.7,61000,1450.0,100.0,84.0,602
27572,NJ,4.7,82000,1720.0,132.0,104.0,672
27573,CA,5.5,75000,1830.0,165.0,127.0,174
27574,NY,5.2,72000,1800.0,139.0,102.0,358
27575,FL,4.6,55000,1290.0,105.0,84.0,683
27576,CA,5.3,75000,1480.0,160.0,128.0,888
27577,MI,5.5,57000,1510.0,94.0,80.0,717
27578,TX,3.9,61000,1310.0,103.0,90.0,622
27579,PA,3.9,61000,1490.0,94.0,87.0,377
27580,CA,4.9,75000,1490.0,165.0,130.0,523
27581,TN,4.0,53000,1170.0,103.0,74.0,901
27582,CA,5.3,75000,1650.0,169.0,125.0,484
27583,TX,4.1,61000,1430.0,107.0,90.0,855
27584,VA,3.9,74000,2060.0,125.0,99.0,207
27585,CA,5.7,75000,1860.0,158.0,125.0,789
27586,NC,3.9,54000,1300.0,105.0,94.0,284
27587,OH,4.9,56000,1080.0,95.0,76.0,917
27588,MI,5.3,57000,1420.0,96.0,85.0,732
27589,FL,4.4,55000,1460.0,113.0,92.0,901
27590,AZ,4.3,58000,1460.0,119.0,89.0,912
27591,CA,5.6,75000,1850.0,159.0,119.0,651
27592,NY,5.0,72000,2040.0,147.0,123.0,922
27593,OH,4.8,56000,1300.0,97.0,80.0,215
27594,TN,3.9,53000,1220.0,97.0,97.0,421
27595,GA,4.4,58000,1580.0,103.0,80.0,635
27596,CA,5.6,75000,1830.0,173.0,127.0,796
27597,OH,4.8,56000,1430.0,94.0,79.0,638
27598,TX,4.3,61000,1390.0,103.0,84.0,555
27599,FL,4.6,55000,1350.0,117.0,86.0,576
27600,TX,3.9,61000,1370.0,93.0,82.0,836
27601,CA,5.6,75000,1640.0,160.0,133.0,875
27602,CA,5.9,75000,1570.0,167.0,131.0,514
27603,WI,4.2,60000,1320.0,98.0,84.0,633
27604,WA,5.0,78000,1910.0,165.0,124.0,616
27605,TX,4.5,61000,1520.0,101.0,80.0,131
27606,MD,4.5,84000,2030.0,127.0,120.0,120
27607,FL,5.1,55000,1440.0,121.0,90.0,631
27608,GA,4.9,58000,1470.0,101.0,83.0,633
27609,MI,5.6,57000,1430.0,83.0,76.0,684
27610,WI,4.7,60000,1510.0,93.0,65.0,231
27611,WI,4.5,60000,1400.0,96.0,80.0,400
27612,CA,5.6,75000,1820.0,152.0,118.0,604
27613,FL,4.8,55000,1340.0,109.0,83.0,875
27614,TX,4.1,61000,1560.0,102.0,84.0,492
27615,FL,4.7,55000,1570.0,111.0,95.0,789
27616,MD,4.0,84000,2130.0,133.0,110.0,173
27617,CA,5.6,75000,1880.0,159.0,122.0,674
27618,TX,4.4,61000,1380.0,103.0,89.0,836
27619,FL,4.8,55000,1590.0,107.0,88.0,483
27620,NY,4.6,72000,1740.0,143.0,124.0,899
27621,OH,5.0,56000,1430.0,90.0,71.0,387
27622,TX,4.7,61000,1470.0,114.0,100.0,807
27623,CA,5.5,75000,1780.0,162.0,121.0,920
27624,MO,4.6,55000,1240.0,94.0,77.0,944
27625,AZ,4.8,58000,1480.0,113.0,95.0,456
27626,MO,4.2,55000,1320.0,98.0,85.0,565
27627,CA,5.3,75000,1770.0,154.0,121.0,156
27628,AZ,4.9,58000,1240.0,117.0,96.0,467
27629,OH,4.9,56000,1370.0,86.0,66.0,660
27630,CA,5.6,75000,1790.0,161.0,129.0,892
27631,NC,4.3,54000,1220.0,110.0,82.0,503
27632,OH,5.1,56000,1340.0,89.0,76.0,744
27633,AZ,4.6,58000,1490.0,116.0,95.0,796
27634,TX,3.8,61000,1480.0,104.0,85.0,341
27635,OH,4.2,56000,1440.0,102.0,81.0,994
27636,FL,4.8,55000,1530.0,114.0,94.0,707
27637,NY,5.2,72000,1560.0,146.0,116.0,959
27638,MA,4.1,81000,1980.0,139.0,119.0,655
27639,MA,4.0,81000,1850.0,149.0,118.0,747
27640,PA,4.6,61000,1460.0,98.0,86.0,851
27641,VA,4.0,74000,1430.0,123.0,103.0,452
27642,FL,4.6,55000,1400.0,116.0,90.0,830
27643,CA,5.5,75000,1560.0,165.0,130.0,321
27644,NY,4.1,72000,1820.0,143.0,115.0,925
27645,NC,4.4,54000,1160.0,116.0,99.0,704
27646,TX,3.8,61000,1670.0,104.0,87.0,712
27647,PA,4.9,61000,1670.0,90.0,82.0,501
27648,OH,4.6,56000,1150.0,96.0,82.0,796
27649,TX,4.1,61000,1330.0,107.0,89.0,263
27650,TX,4.1,61000,1570.0,107.0,88.0,588
27651,CA,5.2,75000,2000.0,162.0,119.0,488
27652,CA,5.9,75000,1790.0,158.0,123.0,150
27653,NY,5.1,72000,1560.0,145.0,118.0,925
27654,OH,5.1,56000,1600.0,90.0,81.0,102
27655,WA,5.1,78000,1800.0,155.0,125.0,885
27656,TN,4.1,53000,1340.0,113.0,90.0,730
27657,CA,5.5,75000,1800.0,164.0,128.0,772
27658,NY,5.0,72000,1660.0,137.0,102.0,836
27659,CA,5.7,75000,1930.0,161.0,126.0,990
27660,TX,4.0,61000,1350.0,112.0,91.0,547
27661,WA,4.9,78000,2130.0,162.0,137.0,658
27662,IL,5.5,65000,1510.0,94.0,78.0,576
27663,VA,3.8,74000,1640.0,125.0,114.0,225
27664,MD,4.5,84000,1980.0,129.0,103.0,478
27665,MI,5.8,57000,1220.0,96.0,79.0,641
27666,GA,4.1,58000,1440.0,107.0,93.0,100
27667,NY,5.4,72000,2330.0,142.0,125.0,796
27668,CA,5.2,75000,1850.0,157.0,114.0,247
27669,TX,4.1,61000,1640.0,102.0,92.0,149
27670,NY,5.0,72000,1540.0,144.0,122.0,640
27671,PA,4.1,61000,1250.0,90.0,80.0,785
27672,MO,4.2,55000,1450.0,93.0,78.0,937
27673,PA,4.6,61000,1300.0,98.0,88.0,964
27674,NJ,5.0,82000,1780.0,140.0,131.0,280
27675,IN,4.4,55000,1690.0,96.0,77.0,904
27676,MI,5.9,57000,1520.0,103.0,83.0,416
27677,MD,3.9,84000,1860.0,119.0,98.0,308
27678,MI,5.6,57000,1580.0,93.0,80.0,421
27679,CA,5.4,75000,1760.0,170.0,132.0,746
27680,PA,4.8,61000,1270.0,100.0,94.0,577
27681,CA,5.6,75000,1800.0,162.0,128.0,544
27682,OH,4.3,56000,1420.0,102.0,82.0,322
27683,IL,4.4,65000,1630.0,108.0,89.0,955
27684,GA,3.8,58000,1390.0,98.0,85.0,716
27685,FL,4.9,55000,1290.0,107.0,87.0,846
27686,CA,5.9,75000,1790.0,164.0,130.0,230
27687,NY,5.4,72000,1780.0,148.0,120.0,546
27688,CA,5.0,75000,1760.0,161.0,127.0,724
27689,VA,4.1,74000,1780.0,124.0,104.0,396
27690,CA,5.5,75000,1950.0,161.0,126.0,834
27691,CA,5.3,75000,2060.0,159.0,125.0,554
27692,AZ,4.5,58000,1750.0,115.0,94.0,855
27693,NC,4.0,54000,1220.0,122.0,93.0,172
27694,NY,5.0,72000,1700.0,143.0,118.0,924
27695,MD,4.7,84000,2190.0,130.0,104.0,390
27696,PA,4.5,61000,1450.0,90.0,83.0,787
27697,IN,3.3,55000,1260.0,99.0,80.0,859
27698,WI,4.3,60000,1850.0,106.0,87.0,725
27699,IL,4.6,65000,1470.0,105.0,92.0,275
27700,CA,5.0,75000,1770.0,160.0,126.0,458
27701,IN,4.5,55000,1370.0,98.0,82.0,846
27702,CA,5.4,75000,1490.0,162.0,126.0,152
27703,TX,4.3,61000,1380.0,104.0,86.0,626
27704,NC,4.5,54000,1310.0,111.0,81.0,924
27705,GA,4.1,58000,1320.0,103.0,82.0,450
27706,PA,4.6,61000,1480.0,105.0,88.0,101
27707,CA,5.6,75000,2040.0,161.0,121.0,108
27708,TX,4.3,61000,1860.0,102.0,92.0,353
27709,AZ,5.2,58000,1600.0,123.0,99.0,760
27710,CA,5.2,75000,1540.0,155.0,120.0,736
27711,MA,4.6,81000,1750.0,144.0,122.0,201
27712,CA,5.2,75000,1700.0,160.0,126.0,921
27713,TX,3.7,61000,1460.0,107.0,91.0,930
27714,TX,4.4,61000,1430.0,101.0,86.0,714
27715,CA,5.8,75000,1930.0,158.0,123.0,258
27716,VA,4.2,74000,2010.0,122.0,103.0,954
27717,MI,5.4,57000,1500.0,102.0,77.0,568
27718,PA,4.4,61000,1610.0,88.0,74.0,118
27719,IN,4.5,55000,1390.0,103.0,80.0,838
27720,VA,3.5,74000,1620.0,126.0,98.0,841
27721,AZ,4.5,58000,1390.0,109.0,84.0,922
27722,MO,3.5,55000,1360.0,89.0,72.0,820
27723,TX,4.0,61000,1300.0,115.0,95.0,451
27724,CA,5.3,75000,1550.0,154.0,128.0,415
27725,NY,4.7,72000,1670.0,136.0,116.0,183
27726,NC,4.7,54000,1160.0,101.0,86.0,313
27727,CA,5.6,75000,1910.0,153.0,121.0,399
27728,MO,3.9,55000,1290.0,101.0,85.0,199
27729,VA,4.1,74000,2020.0,129.0,107.0,215
27730,CA,6.0,75000,1860.0,163.0,124.0,537
27731,NJ,4.8,82000,1850.0,130.0,101.0,703
27732,MA,4.2,81000,1930.0,149.0,124.0,461
27733,CA,5.3,75000,1830.0,161.0,128.0,167
27734,IL,5.4,65000,1710.0,93.0,89.0,615
27735,MO,4.2,55000,1120.0,92.0,77.0,724
27736,PA,4.6,61000,1470.0,95.0,73.0,346
27737,FL,4.8,55000,1430.0,125.0,96.0,196
27738,WI,4.4,60000,1510.0,116.0,92.0,282
27739,CA,5.8,75000,1830.0,166.0,138.0,421
27740,TX,4.2,61000,1360.0,104.0,88.0,327
27741,MO,3.8,55000,1150.0,100.0,73.0,689
27742,TX,4.3,61000,1360.0,107.0,81.0,116
27743,MD,4.9,84000,1820.0,138.0,121.0,230
27744,NC,4.4,54000,1330.0,114.0,85.0,985
27745,MI,5.6,57000,1400.0,85.0,76.0,329
27746,MI,5.4,57000,1450.0,97.0,83.0,448
27747,FL,4.6,55000,1280.0,116.0,92.0,919
27748,FL,4.4,55000,1380.0,111.0,89.0,539
27749,NJ,4.6,82000,2490.0,134.0,105.0,743
27750,NY,5.2,72000,1630.0,145.0,119.0,536
27751,TX,4.1,61000,1350.0,115.0,87.0,638
27752,VA,3.6,74000,1690.0,131.0,102.0,546
27753,CA,5.9,75000,1940.0,164.0,133.0,623
27754,CA,5.3,75000,2040.0,161.0,127.0,735
27755,MO,3.8,55000,1280.0,92.0,73.0,263
27756,MI,5.4,57000,1690.0,94.0,89.0,337
27757,CA,5.0,75000,1780.0,163.0,139.0,528
27758,NJ,5.2,82000,1860.0,139.0,123.0,790
27759,MO,3.7,55000,1080.0,95.0,71.0,844
27760,NY,5.1,72000,1690.0,143.0,119.0,785
27761,GA,4.4,58000,1270.0,118.0,95.0,299
27762,MI,6.1,57000,1210.0,85.0,74.0,157
27763,TX,4.0,61000,1220.0,101.0,87.0,736
27764,TX,4.2,61000,1630.0,98.0,82.0,680
27765,FL,5.0,55000,1460.0,130.0,117.0,333
27766,NJ,5.0,82000,1850.0,131.0,115.0,399
27767,PA,4.0,61000,1670.0,98.0,84.0,235
27768,TX,4.4,61000,1620.0,108.0,84.0,384
27769,WA,5.0,78000,1780.0,157.0,119.0,471
27770,MD,5.1,84000,2120.0,127.0,114.0,988
27771,VA,3.3,74000,1580.0,125.0,104.0,517
27772,VA,4.0,74000,1930.0,121.0,106.0,376
27773,NC,4.5,54000,1240.0,102.0,81.0,360
27774,MI,5.3,57000,1240.0,97.0,80.0,864
27775,TX,4.3,61000,1510.0,99.0,78.0,406
27776,OH,4.8,56000,1380.0,95.0,71.0,327
27777,VA,3.8,74000,1890.0,122.0,100.0,362
27778,GA,4.1,58000,1400.0,107.0,89.0,983
27779,TN,3.6,53000,1080.0,110.0,88.0,189
27780,IN,4.5,55000,1320.0,94.0,79.0,473
